EIN,ORG_NAME,AVG_RECENT_REVENUE,AVG_PRIOR_REVENUE,PCT_CHANGE,MOMENTUM_SCORE,VOLATILITY,MOMENTUM_CLASS
232888236,Steelworkers Pension Trust Employee Post Retirement Health Ins Pl & Tr,646429,604977,6.85,-656231,0.62,turbulent
232889160,Pleasant Hills Land Corporation,16086,23965,-32.88,3404,0.86,turbulent
232889307,New Horizon Theather Inc,210066,136231,54.2,260714,0.68,turbulent
232890029,Steven E & Gail S Burke Foundation,179841,164064,9.62,14763,0.11,weak_up
232891815,Artists And Cities Inc,393089,118716,231.12,35413,1.3,turbulent
232894082,Munhall Road Apartments Inc,79559,74632,6.6,3511,0.04,weak_up
232894514,Renewal Treatment Inc,7103915,3931163,80.71,4070642,0.52,turbulent
232894767,South Allegheny Band Parents Inc,67167,111716,-39.88,7471,0.42,uncategorized
232898628,Harmarville Outreach Programs And Educational Network,118278,119084,-0.68,-44912,0.28,stable
232899331,Pleasant Hills Volunteer Fire Company And Relief Association,49130,47053,4.41,8248,0.22,stable
232899907,Pittsburgh Symphony Members Association,79272,71810,10.39,-100732,0.84,turbulent
232903074,Peirce Family Foundation Inc,3107683,1645319,88.88,1587246,0.55,turbulent
232903992,Spatt Family Charitable Foundation,106117,15971,564.42,177244,1.23,turbulent
232907335,Iota Phi Foundation Of Pittsburgh Incorporated,231428,108157,113.97,133390,0.61,turbulent
232907830,Airport Artic Foxes Youth Hockey Association,1028655,837548,22.82,274489,0.31,strong_momentum_up
232910318,Upmc,3933694,3769964,4.34,-134642,0.17,stable
232910572,Mount Lebanon Band Builders,65315,72770,-10.24,68159,0.44,weak_down
232913182,Federated Investors Foundation Incorporated,933659,577924,61.55,-1546822,0.91,turbulent
232914614,Every Child Inc,5295832,3553620,49.03,769065,0.24,strong_momentum_up
232917105,Mon Yough Area Chamber Of Commerce,78905,98342,-19.76,-38769,0.17,weak_down
232925413,Pennsylvania Association For Continuing Education,1,1,0.0,0,0.0,stable
232925416,John Schneider Loresch Foundation,1198017,779554,53.68,1176146,0.41,strong_momentum_up
232927036,Skyview Volunteer Fire Company West Mifflin No 4,294096,205204,43.32,-55882,0.21,uncategorized
232928397,Sewickley Public Library Inc,1624354,1241172,30.87,231946,0.21,strong_momentum_up
232932969,Philip Chosky Charitable & Educational Foundation,995691,1596215,-37.62,529287,0.97,turbulent
232934986,Urban Pathways 6 12 Charter School,7935358,4456039,78.08,717086,0.36,strong_momentum_up
232935278,Childrens Institute Of Pittsburgh,40606301,41620094,-2.44,8620327,0.11,stable
232936195,Martha Mack Lewis Foundation,25601,54687,-53.19,-71185,0.75,turbulent
232937938,International Union Of Painters And Allied Trades,4233782,3203515,32.16,1061577,0.34,strong_momentum_up
232938840,Pollack Family Foundation Inc,16657,17321,-3.83,-3412,0.43,stable
232939083,Pittsburgh Gateways Corporation,5093565,3973224,28.2,-7976253,0.88,turbulent
232939532,Nazareth Prep,3358865,5404086,-37.85,-2301428,0.53,turbulent
232939915,Upper St Clair Fire Relief Association Inc,162492,145443,11.72,17330,0.49,weak_up
232940526,Fern Hollow Nature Center Inc,235810,192522,22.48,108102,0.39,strong_momentum_up
232947828,Family Trust,2910046,2238617,29.99,621487,0.35,strong_momentum_up
232948514,Pennsylvania Organization Of Nurse Leaders,138486,221104,-37.37,157275,0.41,uncategorized
232949160,Mukaiyama Rice Foundation,141031,191274,-26.27,-101449,0.47,strong_momentum_down
232952364,Manchester Academic Charter School,8945032,7831278,14.22,-434542,0.34,weak_up
232967019,Anthrocon Inc,417283,815260,-48.82,526634,0.43,uncategorized
232972093,Homeless Cat Management Team Incorporated,305428,116523,162.12,303035,0.82,turbulent
232983986,Mendenhall Tyson Scholarship Foundation,113426,236441,-52.03,14757,0.82,turbulent
232993372,Allegheny General Hospital Auxillary,395496,740778,-46.61,-130816,0.28,strong_momentum_down
232997944,Gladwood Foundation,267758,250813,6.76,-242928,1.08,turbulent
233070601,Lawrenceville United,500106,440166,13.62,-104444,0.27,weak_up
233095581,Ohara Elementary Parent Teacher Organization,48485,39136,23.89,14267,0.27,strong_momentum_up
233097648,Speyer Family Foundation,471846,215588,118.86,682567,1.39,turbulent
236200147,Alex D & Eva M Martin Tr 54038,4290,9380,-54.26,-3506,0.73,turbulent
236200162,Gertrude Guil Putney No 5 54043 Nect,111,40,172.95,-118,1.98,turbulent
236200730,Elizabeth M Bolles 45030 Nect,31691,64904,-51.17,-21150,1.08,turbulent
236200828,Lawrence S Holt 4 45211 Nect,4045,9259,-56.31,-2053,0.68,turbulent
236200853,Isaac S H Jones,13481,50967,-73.55,-9308,0.94,turbulent
236200877,Henry Leffmann 45270 Nect,5078,10605,-52.12,-3487,1.01,turbulent
236200878,Henry Leffmann 2,11692,21787,-46.33,-3977,0.8,turbulent
236200964,Bessie L Skellie 5 45426 Nect,9477,11134,-14.88,-14814,0.76,turbulent
236201004,Joseph W Wallace 4 45489 Nect,37982,72026,-47.27,-16832,0.76,turbulent
236201012,J J George L Wells 45501,43555,97949,-55.53,-30559,0.67,turbulent
236201085,Mary E Macmanus 6 45615 Nect,23415,49724,-52.91,-16654,0.69,turbulent
236201162,Henry Carver 2 45731 Nect,43043,97139,-55.69,-27598,0.66,turbulent
236201168,William A Erwin 45739,12312,26258,-53.11,-9533,0.91,turbulent
236201204,John H Wanner Trust 45785,175589,609391,-71.19,61815,1.49,turbulent
236201218,Lola B Nuse 2 45804 Nect,70469,68286,3.2,21901,0.38,stable
236201438,Jaqueline Harrison Smith 46818 Nect,29447,65589,-55.1,-20159,0.69,turbulent
236201473,Henry D Allen,12380,53825,-77.0,-8988,1.2,turbulent
236201485,V E Archambault Jr 60039 Nect,65037,147979,-56.05,-48481,0.7,turbulent
236201490,Edward Atkins 4 Foundation,72312,123895,-41.63,51036,0.55,turbulent
236201492,Helen R Bacon 3 Provident Natl Bank Tr 60063,10791,23487,-54.06,-6567,0.73,turbulent
236201503,George W Beebe 3 60103 Nect,2196,1506,45.83,529,0.49,strong_momentum_up
236201530,Matilda H Bretz 5 Nect,7302,13170,-44.56,-5365,0.58,turbulent
236201538,John Buchanan Nect 60241,16554,28009,-40.9,-13724,0.66,turbulent
236201578,John Costello 4 60371 Nect,10668,20898,-48.95,-6393,0.66,turbulent
236201617,Charles E Ellis 4 60520 Nect,5238,7497,-30.13,1282,0.77,turbulent
236201637,Foreman Fleisher 2 Provident Natl Bank Trustee 60598,22003,52481,-58.07,8749,0.67,turbulent
236201661,Amanda E Glatfelter 4 Nect,1782,4274,-58.29,4292,0.83,turbulent
236201682,Katherine S Harned 3 Nect,17521,41846,-58.13,-14097,0.84,turbulent
236201683,Phebe Harned 3 60789 Nect,18541,43769,-57.64,-14491,0.76,turbulent
236201744,Carl F Lauber,12864,8594,49.69,3060,0.55,turbulent
236201745,Samuel Lawson 2,9191,42966,-78.61,-5487,1.43,turbulent
236201840,Lemuel Ritchey Parry 2 Nect,16576,21780,-23.89,-27660,0.52,turbulent
236201846,George L Pennock 3 Trust 61432,23153,27377,-15.43,-11003,0.62,turbulent
236201894,John K Schafer 2 61618 Nect,15528,51877,-70.07,-11703,0.73,turbulent
236201895,Albert F Schenck 8 61621 Nect,253162,157809,60.42,-237260,1.1,turbulent
236201913,Eleanor R Simes 61718 Nect,9062,21127,-57.1,-6330,0.79,turbulent
236201945,Henry Stuebner 12,44200,91008,-51.43,-33517,0.95,turbulent
236201955,Fred W Taylor Trust 3,93440,70382,32.76,-16735,0.72,turbulent
236202007,William White 62075 Nect,44392,103217,-56.99,-34699,0.85,turbulent
236202113,Lydia I Biddle 3 62406 Nect,9649,21987,-56.11,-6163,0.77,turbulent
236202199,John J Tyler Tr Fob The John J Tyler Arboretum,403915,224190,80.17,-112754,0.86,turbulent
236202355,Thomas C Porch 4,13180,60553,-78.23,-9392,1.44,turbulent
236202452,Mary B Johnson 2 63174 Nect,18389,40928,-55.07,-14690,0.69,turbulent
236202512,Everett H Plummer 4,30239,94838,-68.11,-24374,0.76,turbulent
236202525,William C Freeman 3 63277 Nect,14545,44001,-66.94,-11389,0.83,turbulent
236202526,William C Freeman 4 63278 Nect,9386,29840,-68.54,-6037,0.84,turbulent
236202580,Benjamin E Block,9415,20287,-53.59,-5781,0.81,turbulent
236202581,Be Block 4 Memorial Childrens Fund,9633,19857,-51.49,5004,0.81,turbulent
236202693,Emilie J Klahr Testamentary Trust,23500,51288,-54.18,8744,0.75,turbulent
236202704,Walter T Bradley No 7 Acct 65034,5679,5179,9.66,-6636,0.63,turbulent
236202717,John S Bush 65055 Nect,95011,177032,-46.33,-29524,0.51,turbulent
236202766,Charlotte A Ragotzky 65127 Nect,29753,64711,-54.02,-19183,0.78,turbulent
236202794,Alexander M Fox Jr 2 Nect 65164,165638,331588,-50.05,-133417,0.68,turbulent
236202818,Albert G Bauer Trust 68560 Nect,52954,121120,-56.28,-36246,0.98,turbulent
236202999,Richard M Hartley 69074 Nect,80267,184483,-56.49,-63440,0.66,turbulent
236203029,Charlotte S P Keen Provident Natl Bank Tr 69174 Nect,22195,48420,-54.16,-17009,0.71,turbulent
236203118,Annetta E Norris 69445 Nect,43099,157766,-72.68,-35465,1.12,turbulent
236203125,John B Parsons Provident Natl Bank Tr 69482 Nect,113324,241427,-53.06,-90789,1.06,turbulent
236203275,Richard Lyne Tr N0 2 Res N0 63315,8277,37184,-77.74,-6517,1.31,turbulent
236203462,William L Glatfelter Tr 8 N0 40478,10438,11806,-11.59,3365,0.35,weak_down
236203493,Jacob E Heyl 6 40609 Nect,226756,736288,-69.2,-143620,0.73,turbulent
236203500,Lawerence S Holt Tr 7 N0 40639,4511,9959,-54.7,-3530,0.67,turbulent
236203501,Lawrence S Holt Trust 9 No 40640 Provident Natl Bank Tr,19810,20882,-5.13,-17688,0.7,turbulent
236203736,Isaac J Wistar,122298,54635,123.85,-152376,0.7,turbulent
236203816,Katharine Hollinger Glatfelter 7 Tr 41943,8960,15137,-40.81,-518,0.8,turbulent
236204039,John Louis Haney Fund 42658 Nect,10796,22439,-51.88,-7159,1.15,turbulent
236204657,Hannah Morris,18048,41253,-56.25,-14401,0.71,turbulent
236204983,F M & L M Willis 2 Mt Olivet M No 44466,12079,25309,-52.27,-8396,0.77,turbulent
236205062,Corinne R & Henry Bower Mem Tr,37331,152635,-75.54,-15165,1.38,turbulent
236205269,G W Elkins Fbo Abington Memorial Hospital Tr 46367,371562,612603,-39.35,117590,0.56,turbulent
236205270,S Mcintyre Elkins For Abington,269906,368529,-26.76,212241,0.45,uncategorized
236205274,Annie L Lowry 2 First Presby Church Provident Natl Bank Tr 46398,10970,23757,-53.82,-8830,0.95,turbulent
236205337,Annie L Lowry,24949,54614,-54.32,-20894,1.11,turbulent
236205363,Charles Morris Price School Trust,6100,8850,-31.08,-3952,0.85,turbulent
236205415,I Tyler Mem Fd Hahnemn Med Coll,26511,56903,-53.41,-17502,0.89,turbulent
236205416,George W & Eleanor Elkins Tr,22160,46090,-51.92,-17748,1.14,turbulent
236205417,I Tyler Men Fd Fob The Pa Society To Protect Children From Cruelty,22173,42164,-47.41,-13401,1.17,turbulent
236205425,Widener Memorial School Endowment Foundation,589548,897884,-34.34,967640,0.47,uncategorized
236205429,Crosby M Wright 3,4113,10073,-59.17,-3038,0.95,turbulent
236205433,Crosby M Wright,7059,16294,-56.68,-4297,0.77,turbulent
236205438,John S Fisher For Pearl Reiter,3720,8690,-57.19,-2615,0.76,turbulent
236205505,J E Barbey 8 Tenacre Foundation,67301683,43345386,55.27,4094133,0.41,strong_momentum_up
236205570,John S Fisher 6,15934,33259,-52.09,-12115,0.66,turbulent
236205571,John S Fisher 7 St Johns E L Ch,6794,15866,-57.17,-4596,0.68,turbulent
236205592,William Lincoln Glatfelter 25,3903,4251,-8.19,719,0.35,weak_down
236205593,Samuel Kilpatrick 3,108038,229477,-52.92,-84334,0.69,turbulent
236205598,Joseph V Kudirka,30470,65340,-53.37,-14302,0.67,turbulent
236205612,William G Sandy Jr,70938,148797,-52.33,-50530,0.87,turbulent
236205614,Hannah Lewis Scott 5,1219449,577650,111.11,1591646,0.72,turbulent
236205667,Anna Williams Dreer,8603,18814,-54.27,-5729,1.19,turbulent
236205830,Emilie J Klahr No 2 Testamentary Trust,327894,338620,-3.17,255556,0.78,turbulent
236205834,Rachel Mcn Zimmerman Trust 68366,33327,69428,-52.0,-25323,0.74,turbulent
236205836,George Elkins For Abington Hospital,463969,700283,-33.75,428704,0.57,turbulent
236205850,Clement Biddle Res,34269,80351,-57.35,-25967,0.76,turbulent
236205851,Mary L C Biddle Foundation 68598,13476,23804,-43.39,-6261,0.76,turbulent
236205869,Althea J Carnell Trust,13765,53367,-74.21,-9753,0.9,turbulent
236205874,George Elkins For City Of Philadelphia,144143,172314,-16.35,-209416,0.77,turbulent
236205875,Maskline Clark For Mariners Home,17444,41598,-58.06,-9300,0.74,turbulent
236205918,Samuel Frank,14500,24124,-39.89,-11762,0.82,turbulent
236205929,George A Garrett Res,17698,39674,-55.39,-11082,0.66,turbulent
236205930,George A Garrett Item 10,12695,22459,-43.47,-8861,0.65,turbulent
236205931,G A Garrett For Saunders House,1066,680,56.76,192,0.43,strong_momentum_up
236205932,G A Garrett For St Pauls Church T/N 68974,15613,24008,-34.97,-12639,0.76,turbulent
236205933,G A Garrett Sunday School Bldg Ed 68976,31423,68270,-53.97,-17918,0.6,turbulent
236205934,George A Garrett,21900,46247,-52.65,-17201,0.93,turbulent
236205936,Anna M Goldbeck Tr 16 35 035 0689929,7451,28358,-73.73,-11626,1.71,turbulent
236205941,Rebecca Gumbes,11461,17188,-33.32,-8692,0.61,turbulent
236205943,George Elkins For Hahnemann,317214,568163,-44.17,36751,0.48,uncategorized
236205945,Jeremiah J Harrigan,101822,207571,-50.95,-71811,0.63,turbulent
236205953,Hirsch Herman Provident Natl Bank Trust 69090 Nect,29137,71198,-59.08,-14727,0.68,turbulent
236206015,H Louisa More For South Church,12849,28584,-55.05,-9516,0.94,turbulent
236206052,Howard H Roberts Trust,31898,127993,-75.08,-23164,0.93,turbulent
236206088,Harper N Steward 69758,8183,18407,-55.54,-6325,0.7,turbulent
236206107,Eliza J West,10814,24887,-56.55,-8802,0.68,turbulent
236206759,George Garrett,1766,926,90.65,-480,0.41,uncategorized
236206760,G A Garrett For 43 Rd St M E Ch,1279,987,29.54,-292,0.25,uncategorized
236206761,G A Garrett Trust,986,811,21.57,85,0.35,strong_momentum_up
236207350,Agnes & Sophie Dallas Irwin Memorial Fund 40672,68990,59922,15.13,-3245,0.72,turbulent
236207354,Robinson Foundation No 42806,43826,201564,-78.26,-12147,0.8,turbulent
236207356,Rider Pool Foundation 43501,576526,739229,-22.01,53468,0.61,turbulent
236213225,Alpin J And Alpin W Cameron Memoria,245675,499119,-50.78,187382,0.61,turbulent
236215376,Est John T Gallaher Tw 3000 F 10617,18785,31223,-39.84,14699,0.83,turbulent
236222883,J Orin Yeager Charitable Trust For Charity,38532,28689,34.31,-23898,0.75,turbulent
236223451,Margaret A Armstrong U W 15902 Mellon Bank East N A,5995,5099,17.56,4975,0.49,weak_up
236223461,Anna H Wilstach Trust Uw,89415,79242,12.84,61543,0.52,turbulent
236223477,Annie M Wilson Uw Clause 5 Girard,6161,5662,8.81,4397,0.34,weak_up
236223479,Annie M Wilson Trust Uw 40204 Mellon Bank East Na,4562,4354,4.78,3249,0.37,stable
236223507,Emma Ridgway Comly Fund,167514,152577,9.79,10689,0.59,turbulent
236223527,Alexander M Fox U W 8 Th Item No 00682 00,32248,27303,18.11,20629,0.43,weak_up
236223542,Elizabeth B Ketterlinus Trust Uw Item 5 80003 Fbo,58717,54114,8.51,42349,0.53,turbulent
236223543,Elizabeth B Ketterlinus T Item 6 Of Will,53751,48648,10.49,38671,0.56,turbulent
236223544,Elizabeth B Ketterlinus Tr 7 80005,23598,24592,-4.04,17104,0.46,stable
236223619,Esther Gowen Hood Uw 108401 Hs011,225579,135052,67.03,96396,0.49,strong_momentum_up
236223620,Esther Gowen Hood Trust U/W Music Fund Nect,14539,13433,8.23,2005,0.49,weak_up
236223656,Mary E English Decd Tr Uw No 1411 00,54203,49573,9.34,37096,0.54,turbulent
236223681,Yarnall Ellis H Uw,3671,4912,-25.26,-716,0.57,turbulent
236223682,Emily Yarnall Uw,160,130,23.27,-1,0.7,turbulent
236223686,St Pauls Episcopal Church Uw Smnh No 1655 05,79365,45126,75.87,38145,0.56,turbulent
236223687,Serena M Hutchinson Trust Uw Fbo,144533,117523,22.98,114528,0.41,strong_momentum_up
236223690,George L Harrison Tr Uw School Fund,24956,21055,18.53,22022,0.48,weak_up
236223753,Trinity Epis Chuw B W M Mwh Mem Fd 212204,9669,8361,15.64,6331,0.47,weak_up
236223795,Ella B Thomas Uw 237303 Mellon Bank East Na,4952,4292,15.38,3212,0.72,turbulent
236223859,John Tyndale U W Scholarship Fund,16932,16071,5.36,1884,0.39,weak_up
236223905,Emily E Fairchild Uw,6394,5745,11.3,4776,0.6,turbulent
236223923,Elizabeth W Smith Trust Fbo,10467,6906,51.56,7693,0.68,turbulent
236223934,M Clara Hasskarl Uw 300704 Mellon Bank East Na,12128,13025,-6.89,8565,0.44,weak_down
236223950,Joseph S Keen Jr Tr Uw,83622,70654,18.35,50184,0.54,turbulent
236223966,Lillian Beale U W Dtd 01 10 39 No3235 04,34115,31534,8.18,24114,0.6,turbulent
236223999,Elizabeth H Mccahan Trust Uw 12 29 98 N03577 01,146667,130957,12.0,104286,0.55,turbulent
236224086,George B Focht Trust Uw,27031,18428,46.69,17572,0.65,turbulent
236224129,Presbyterian Home For Widows Tuw Of John Markle,80421,70602,13.91,50190,0.49,weak_up
236224131,Anna J Barnes Uw 445005,53417,50502,5.77,34948,0.44,weak_up
236224147,Rebecca C Coxe Tr Uw Fbo St James,3986,3446,15.67,2781,0.55,turbulent
236224161,Foothill Trust U W H C M,21533,23560,-8.6,918,0.67,turbulent
236224162,Henry C Mercer Decd Trust Uw 477301,22441,19953,12.47,17031,0.55,turbulent
236224191,William J Jones Tr For The Salvati Ion Army,2313,2237,3.43,2094,0.45,stable
236224248,Trust Under Will Of Ben Kenworthy Ben Kenworthy Poor Fund,31524,35009,-9.95,5878,0.53,turbulent
236224260,Chilton Anna Uw Dtd 03 14 32 No 5593 02,43675,26629,64.01,-9583,0.53,turbulent
236224265,Robert Toland Trust Uw 5652 07 Fbo Chestnut Hill Hospital,4660,3219,44.78,3444,0.74,turbulent
236224291,William J Moore Uw,79016,82642,-4.39,2153,0.51,turbulent
236224306,Raymond Joseph Harris Educational Fund,70357,70314,0.06,-2270,0.41,stable
236224326,Sipler J Wesley Uw 615804 Mellon Bank East N A,10066,8000,25.82,7086,0.48,strong_momentum_up
236224343,Harry Stoddard Tr Uw,147764,85585,72.65,194641,0.7,turbulent
236224344,Lentz Horace De Y Uw Perp Trust Dtd 12 01 33 No 06289 07,28742,21606,33.03,8281,0.45,strong_momentum_up
236224399,Samuel Mcgowan Uw Pers,10255,8778,16.83,7903,0.47,weak_up
236224420,Ellen A Parker U W Pers Tr,191219,114976,66.31,-180532,1.11,turbulent
236224443,Eugene W Barbier Uw 108408 Dj044,22336,19641,13.72,14544,0.46,weak_up
236224495,Milton J Greenman Uw,36052,49381,-26.99,-22405,0.84,turbulent
236224503,Kinsley Edwards S Uw 108409 Gr033,109156,93491,16.76,73243,0.58,turbulent
236224510,Margaret Henson Tr Uw Fbo Church Of The Trinity,5870,3408,72.21,4286,0.69,turbulent
236224563,University Of Toronto Uw Jg 100801 Mellon Bank East N A,4421,4130,7.04,3214,0.46,weak_up
236224576,Edward H Levis Tr Uw Fbo Sac 101206,20918,18896,10.7,14452,0.43,weak_up
236224614,John R Kauffman Decd Tr Uw Fbo Ghs 107704,10909,10214,6.8,7418,0.45,weak_up
236224615,Masonic Home Elizabethtown Uw Jrk Auf 1077705,10902,11225,-2.88,8254,0.45,stable
236224702,William D Piper Dcdf Tr Uw Fbo Edna May Walker Hoppin,250683,232432,7.85,77760,0.51,turbulent
236224706,John P Hagen F U W 1180103 Mellon Bank,22627,20221,11.9,14970,0.42,weak_up
236224720,Eugene A Rumsey U W 11906 06,389516,271747,43.34,-115205,0.39,uncategorized
236224727,Mary S Drexel Tr Uw Fbo P E Church Mellon Bank East N A,5174,5373,-3.7,3032,0.43,stable
236224758,Lena Riddle Uw 12226 04 Mellon Bank East Na,32252,27808,15.98,21221,0.58,turbulent
236224788,Sarah C Mccahan Tr Uw,147685,125899,17.3,123341,0.51,turbulent
236224798,Helen G Beatty Tr Uw,925722,656207,41.07,268580,0.45,strong_momentum_up
236224852,Kathleen M Hunt Trust 14213 02 Dtd 12 11 50,617686,372516,65.81,223426,0.66,turbulent
236224855,Stephen H Lesher Residuary Trust,324796,211648,53.46,263971,0.45,strong_momentum_up
236224862,G William Phillips U W Salisbury Tr 1432302,2508,2096,19.69,1788,0.41,weak_up
236224867,Clara L Troemner Uw 14432 03 Mellon Bnk East Na,134946,121003,11.52,99626,0.33,weak_up
236224868,Florence M Troemer Charitable Trust 193 0224,159381,144397,10.38,116640,0.44,weak_up
236225116,John Delaplane U W 17706 04 Mellon Bank,11536,7342,57.12,7877,0.65,turbulent
236225160,Lillian W Connelly Uw Res Tr,140482,58880,138.59,-173413,1.27,turbulent
236225165,Illman G Morton Us Res Tr 1084185 H046,53283,45880,16.14,35685,0.64,turbulent
236225168,Sara M Elwell U W Res Trust 1084185 R036,21715,20635,5.24,15138,0.46,weak_up
236225188,Frances A Gunn Tr Uw Girard Bank,187705,159303,17.83,141455,0.49,weak_up
236225200,Charles I Tomlin Trust Uw,113773,100566,13.13,81090,0.53,turbulent
236225211,B Frank Peddrick U W,37178,36786,1.07,26742,0.54,turbulent
236225244,William F Mccann Residuary Trust U/W 20089 04,16516,17621,-6.27,777,0.47,weak_down
236225245,Charles E Robertson Dtd 010859,147789,132449,11.58,113300,0.51,turbulent
236225250,Cassandra T Borden Trust Uw 2011502,11052,9281,19.09,7133,0.41,weak_up
236225309,Allen Edmund Uw Appt Est La 108400 Er075,45159,42346,6.64,29914,0.58,turbulent
236225310,Laura Allen Decd Tr Uw Fbo Hmch Mellon Bank East N Allege,15167,13362,13.51,11292,0.48,weak_up
236225311,Allen Laura Decd Tr Uw Fbo Messiah Univ House Of Phil 108400 Er109,26529,22110,19.99,16077,0.46,weak_up
236225312,Laura Allen Trust Uw Fbo Indian Rights Assn,11712,10530,11.23,7434,0.41,weak_up
236225313,Mary Garrett M Uw Pers,111575,96180,16.01,77600,0.53,turbulent
236225314,Joseph F Hasskarl U W Section 5 28003,11515,10520,9.46,7970,0.6,turbulent
236225368,Naomi Wood Testamentary Trust,396366,371536,6.68,33848,0.47,weak_up
236225422,James Bayard Trust Uw Girard Bank Nect 4382 00,659443,370836,77.83,-594494,0.86,turbulent
236225449,Catherine R Edwards Trust Uw 04 18 38 108405 Gc125,395813,349246,13.33,339655,0.53,turbulent
236225450,Carrie M Hoffman Tr Uw Fbo Charles M Price School,49409,41840,18.09,36627,0.46,weak_up
236225468,Parker Edward T Uw 628600 Mellon Bank East N A,4963,4018,23.53,3298,0.72,turbulent
236225502,Charles C Knox Trust Uw,317726,206771,53.66,-319270,0.54,turbulent
236225531,Frances C Van Gasken Tr Uw Fbo Sbsd 1015006,2472,2094,18.01,1663,0.43,weak_up
236225532,Smith Stephen Uw 10155 08 Mellon Bank East N A,23307,14520,60.51,-10661,0.48,uncategorized
236225542,Clarke Aff League Memorial Fund Tr U/W Mary Clarke League Decd,36310,31615,14.85,28101,0.44,weak_up
236225608,Thomas S Harrison Tr Uw 1289600,290994,149562,94.56,91723,0.64,turbulent
236225632,William Bilyew Trust U W,36732,34553,6.31,27489,0.43,weak_up
236225637,Wilson Catherwood Uw,64710,55732,16.11,42928,0.58,turbulent
236225642,Garrett George A Uw 15136 00 Mellon Bank East N A,7559,6380,18.48,5396,0.46,weak_up
236225649,William C Kirk Tr Uw Fbo Hhsa 152003,9465,9289,1.89,7226,0.41,stable
236225668,Benjamin F Richardson Uw,38980,46292,-15.8,-43053,1.78,turbulent
236225759,Charles A Hunsberger Trust Uw,57324,49267,16.35,-46067,0.77,turbulent
236225770,Maria Dickenson Logan Uw Fbo Two Charitable Institutions,18316,12817,42.91,14707,0.63,turbulent
236225774,Maria D Logan Tr Uw Fbo Lcp 1713304,10186,8603,18.4,7710,0.48,weak_up
236225776,Maria Dickinson Logan Residiary Tr Uw 108417 D7066,48701,32326,50.65,10810,0.33,strong_momentum_up
236225822,Florence W Erdman Trust Uw,628016,720970,-12.89,172141,0.45,weak_down
236225868,George A Schlosser T U W,4671,4092,14.14,3228,0.47,weak_up
236225988,Albert B Millett T U W,167941,100956,66.35,57583,0.29,strong_momentum_up
236226072,Sophia K Reeves Uw Skr Foundation,112480,68724,63.67,-27620,0.61,turbulent
236226151,Natural Lands Trust U Decl,2192425,1555441,40.95,-776647,0.32,uncategorized
236226180,H & Al Speir Memorial Fund Ud,48374,45685,5.89,32827,0.61,turbulent
236226349,Mary M Edmunds Tr 11 01 77,5535,4820,14.83,4316,0.55,turbulent
236226350,Arch St Presbyterian Church 062203,36040,30734,17.26,25879,0.45,weak_up
236226389,Mary P Cummings U D 2 1 8 10 58802,20770,18589,11.74,14330,0.58,turbulent
236226441,Elizabeth Schaffer Trust Ud 0110700,156798,71860,118.2,2123,0.42,strong_momentum_up
236226454,Harriet Etting Brown Ud 2 2 25 29 Girard Trust Bank Acct 1333 02,4438,4081,8.73,2999,0.42,weak_up
236226537,Elizabeth Baird Mckim Trust Ud 217002 02 21 1942,135149,117246,15.27,94008,0.56,turbulent
236226558,Adaline J Craig Trust Under Indenture Dated November 18 1924,225058,144253,56.02,-143024,0.69,turbulent
236226613,A H Kneedler Ud Hmk 1 24 27 Mem Fd,4393,4607,-4.65,3364,0.45,stable
236226651,Charles T Jeffery U D Dtd 11 10 35 No3446 03,51183,63408,-19.28,36651,0.74,turbulent
236226745,Mary Schofield Trust Ud Fbo Fsbc,4069,3776,7.77,2428,0.44,weak_up
236226867,Isabelle J Harrity U D 3 29 55 108408 K8024,16348,14186,15.23,12141,0.6,turbulent
236226881,Seamens Church Institute Ud 052537 108409 D9002,28302,24256,16.68,22042,0.46,weak_up
236226957,Custer Musser Memorial Fund Ud 11609 00,1468237,813756,80.43,392528,0.44,strong_momentum_up
236226964,Wallace E A & M L Ud 9 11 44 11937 00,97861,82927,18.01,72215,0.5,turbulent
236227141,Lorimer Fund Mellon Trust Bank Trustee,168493,117925,42.88,115827,0.6,turbulent
236227173,Edwin A Lind Ud 1 30 60 21835 00 Mellon Bank East,5838,4874,19.78,4270,0.51,turbulent
236227203,Philadelphia Orchestra Association Trust  Endowment Fund ,503134,244167,106.06,187222,1.11,turbulent
236227219,Cope C & A Ud Cec Memorial Fund,40834,30939,31.98,31130,0.53,turbulent
236227226,Elise Lennig Macauley U D 05 01 56 86704,7900,7270,8.67,5436,0.46,weak_up
236227228,Edward B Mears Ud 4 12 35,173853,169964,2.29,118800,0.51,turbulent
236227265,Wistar Institute Ud Gen Fd 01626 00,783811,838846,-6.56,-1035381,0.47,weak_down
236227267,Carlos Macdonald Res Fd Tr 108433 Et000 Fbo Wistar Inst,9759,14015,-30.37,-3966,1.13,turbulent
236227268,Wistar Trust Dtd 08 11 28 Ebm Fund No 1626 08,64964,178008,-63.51,-80341,0.67,turbulent
236227321,Mary K Williams Ud 2 6 630,13363,11399,17.23,9355,0.42,weak_up
236227363,Mary Fuller Cook 7 29 48,126225,99928,26.32,95399,0.68,turbulent
236227381,Ferguson May Hobson Ud Dtd 12 08 38,43617,39771,9.67,31279,0.56,turbulent
236227398,Rhoads T L Ud L Rhoads Foundation,112600,71045,58.49,25609,0.62,turbulent
